,Scholarship Name,Date Posted,Closing Date
0,Malawi Wellcome Trust Pre-MSC and Pre-PhD Internship Scholarship,18 October 2021,01 November 2021
1,University of Oslo NORAD’s NORHED II  PhD and MSc Scholarships,13 October 2021,05 November 2021
2,Nutrition 4 Health Activity Scholarship Opportunities For Postgraduate Studies at LUANAR,22 September 2021,04 October 2021
3,The Global Learning Scholarship Program (GLSP),15 September 2021,16 December 2021
4,The Schlumberger Foundation Faculty for the Future Fellowships 2022-2023,25 August 2021,05 November 2021
5,Kalinga Institute of Industrial Technology (KIIT) International Scholarship Program 2021,11 August 2021,15 August 2021
6,"African Scientific, Research and Innovation Council (ASRIC)  Scholarship 2021",10 August 2021,31 July 2021
7,The Ashinaga African Initiative 2022,10 August 2021,28 January 2022
8,PhD and Postdoc Positions in Machine Learning at the University of Amsterdam,14 July 2021,23 August 2021
